zGrid, Wx, Wy, Curve, curveWx, CurveWy 
350.0, 5.255041205114364, 2.419487466086589, 20.98275648965445, 5.243056254629234, 2.5508591492970143
360.0, 5.091288991029425, 2.2668900279995756, 19.70905921315071, 5.029420547280687, 2.363474524563034
370.0, 4.907965159894635, 2.131239300646622, 18.4886460664493, 4.823677807952654, 2.1861430713669283
380.0, 4.745845811476549, 2.001883446149048, 17.31998603769976, 4.625760318183191, 2.019324759313989
390.0, 4.567769347645136, 1.877444181278421, 16.20151928112378, 4.435587924398109, 1.8635774612133902
400.0, 4.3920882712925655, 1.7641704226575123, 15.131657117015314, 4.253066610583391, 1.719569270789631
410.0, 4.213789976001765, 1.6697135942817194, 14.108782031740365, 4.078087039182731, 1.5880843388843708
420.0, 4.073484207762135, 1.5713642148882376, 13.13124767773713, 3.91052309728058, 1.4700146994597605
430.0, 3.903251313244367, 1.5046303057997668, 12.197378873515998, 3.75023049516458, 1.3663271545813525
440.0, 3.7330184187265987, 1.4378963967112959, 11.305471603659468, 3.597045474682571, 1.277992387800059
450.0, 3.585771426741996, 1.3805438767101892, 10.45379301882223, 3.450783694757699, 1.2058669450579382
460.0, 3.4366606703379263, 1.3400458680845526, 9.64058143573113, 3.3112393701805525, 1.1505323684723396
470.0, 3.2618848627048105, 1.2989518780302955, 8.86404633718516, 3.1781847464408406, 1.1121204724867135
480.0, 3.1446759363423267, 1.2738285391520034, 8.122368372055483, 3.051369996977695, 1.090179107486552
490.0, 3.0086607541157635, 1.2588719577954477, 7.4136993552854165, 2.9305236290515344, 1.0836371095269663
500.0, 2.8927165117532785, 1.2336669101295799, 6.736162267890437, 2.8153534800304727, 1.0908954806163862
510.0, 2.745626949461903, 1.2357820502026293, 6.087851256958185, 2.705548377307057, 1.1100183624565245
520.0, 2.625578660666991, 1.221348996249699, 5.466831635648449, 2.6007805230491843, 1.1389590393967377
530.0, 2.5157412067734692, 1.226877242344325, 4.871139883193197, 2.50070865103818, 1.1757567240649736
540.0, 2.3965484429463513, 1.2263044488862052, 4.298783644896533, 2.4049819892226743, 1.2186692428993677
550.0, 2.275360662003432, 1.2435934595593425, 3.74774173213474, 2.313245051253904, 1.2662388933435653
560.0, 2.1509373722508505, 1.263581193588899, 3.215964122356249, 2.225143276568883, 1.3173072834018098
570.0, 2.0544304283062003, 1.2829547542696473, 2.7013719590816505, 2.140329545147729, 1.3709991257293472
580.0, 1.9308140115299564, 1.318658113177901, 2.201857551903698, 2.058471613362956, 1.4266912178594893
590.0, 1.8439806602272988, 1.3526049767249664, 1.7152843764873094, 1.9792605543767403, 1.4839770771896754
600.0, 1.7410374140344196, 1.396486948184132, 1.2394870745695497, 1.9024203424907662, 1.5426328419144766
610.0, 1.6501053131627659, 1.4464450780543106, 0.7722714539596498, 1.8277187964250445, 1.6025868291127827
620.0, 1.5677207671554179, 1.499288144536331, 0.31141448853899956, 1.754980189815333, 1.6638933193282743
630.0, 1.5001111286915307, 1.5760001175962197, -0.1453356817388496, 1.684099941469183, 1.7267102520676003
640.0, 1.4491656994798647, 1.667677186434202, -0.6002597508481897, 1.6150618967681512, 1.7912801794360724
650.0, 1.3942522063327656, 1.7296848947146215, -1.0556672466911579, 1.547958770553941, 1.8579137768007499
660.0, 1.3451532603918095, 1.8259433963567508, -1.513896531097719, 1.4830162733092769, 1.926975297713454
